cluster_id,size,concept
1,9,"['agent workflow', 'agent-computer interface', 'ai agents', 'frontier large language models', 'language model agent', 'large language models', 'machine learning engineering agent', 'multi-agent system', 'transformer-based language modeling']"
2,1,['ai-driven exploration']
3,1,['automated reviewer']
4,1,['code execution']
5,1,['code optimization']
6,1,['data cleaning']
7,1,['debugging']
8,1,['diffusion modeling']
9,1,['experiment tracking']
10,1,['feature engineering']
11,1,['hierarchical graph modeling']
12,1,['human-in-the-loop']
13,1,['humanevalfix']
14,1,['infiagent-dabench']
15,1,['integrated development environment']
16,2,"['kaggle competitions', 'kaggle evaluations']"
17,1,['learning dynamics']
18,1,['llm-based agent']
19,1,['math dataset']
20,1,['metrs re-bench']
21,1,['modeling']
22,1,['open-ended scientific discovery']
23,1,['openai mle-bench']
24,1,['opendevin']
25,1,['pass@1']
26,1,['programmable node generation']
27,1,['sandboxed environments']
28,1,['simulated review process']
29,1,['swe-bench']
30,1,['tree search']
31,1,['unit testing']
32,1,['webarena']
33,1,['workflow orchestration']
