cluster_id,size,concept
1,24,"['agent workflow', 'agent-computer interface', 'ai agents', 'ai-driven exploration', 'api-based llms', 'communicative agent framework', 'communicative agents', 'conversational data', 'conversational language models', 'frontier large language models', 'in-context lifelong learning', 'language model agent', 'large language model', 'large language models', 'llm-as-agent', 'llm-based agent', 'llm-based multi-agent systems', 'llm-powered embodied lifelong learning agent', 'machine learning engineering agent', 'multi-agent system', 'multi-agent systems', 'open-sourced llms', 'transformer-based language modeling', 'workflow orchestration']"
2,1,['assembly line paradigm']
3,1,['automated reviewer']
4,1,['automatic curriculum']
5,1,['blackbox queries']
6,1,['camel']
7,10,"['code execution', 'code optimization', 'code training', 'codebase', 'execution errors', 'inception prompting', 'instruction following', 'instruction-following cooperation', 'iterative prompting mechanism', 'prompts']"
8,1,['collaborative software engineering benchmarks']
9,1,['data cleaning']
10,1,['debugging']
11,1,['decision-making']
12,1,['diffusion modeling']
13,1,['environment feedback']
14,1,['experiment tracking']
15,1,['feature engineering']
16,1,['gpt-4']
17,1,['hierarchical graph modeling']
18,1,['human-in-the-loop']
19,1,['humanevalfix']
20,1,['infiagent-dabench']
21,1,['integrated development environment']
22,2,"['kaggle competitions', 'kaggle evaluations']"
23,1,['learning dynamics']
24,1,['math dataset']
25,3,"['metrs re-bench', 'openai mle-bench', 'swe-bench']"
26,1,['minecraft']
27,1,['modeling']
28,1,['multi-round alignment data']
29,1,['open-ended scientific discovery']
30,1,['opendevin']
31,1,['pass@1']
32,1,['programmable node generation']
33,1,['reasoning']
34,1,['role-playing']
35,1,['sandboxed environments']
36,1,['self-verification']
37,1,['simulated review process']
38,1,['skill library']
39,1,['standardized operating procedures']
40,2,"['tech tree milestones', 'tree search']"
41,1,['unit testing']
42,1,['webarena']
