cluster_id,size,concept
1,11,"['agent workflow', 'agent-computer interface', 'ai agents', 'frontier large language models', 'language model agent', 'large language models', 'llm-based agent', 'llm-based multi-agent systems', 'machine learning engineering agent', 'multi-agent system', 'transformer-based language modeling']"
2,1,['ai-driven exploration']
3,1,['assembly line paradigm']
4,1,['automated reviewer']
5,1,['code execution']
6,1,['code optimization']
7,1,['collaborative software engineering benchmarks']
8,1,['data cleaning']
9,1,['debugging']
10,1,['diffusion modeling']
11,1,['experiment tracking']
12,1,['feature engineering']
13,1,['hierarchical graph modeling']
14,1,['human-in-the-loop']
15,1,['humanevalfix']
16,1,['infiagent-dabench']
17,1,['integrated development environment']
18,2,"['kaggle competitions', 'kaggle evaluations']"
19,1,['learning dynamics']
20,1,['math dataset']
21,1,['metagpt']
22,1,['metrs re-bench']
23,1,['modeling']
24,1,['open-ended scientific discovery']
25,1,['openai mle-bench']
26,1,['opendevin']
27,1,['pass@1']
28,1,['programmable node generation']
29,1,['sandboxed environments']
30,1,['simulated review process']
31,1,['standardized operating procedures']
32,1,['swe-bench']
33,1,['tree search']
34,1,['unit testing']
35,1,['webarena']
36,1,['workflow orchestration']
