cluster_id,size,concept
1,17,"['agent workflow', 'agent-computer interface', 'ai agents', 'ai-driven exploration', 'api-based llms', 'frontier large language models', 'language model agent', 'large language model', 'large language models', 'llm-as-agent', 'llm-based agent', 'llm-based multi-agent systems', 'machine learning engineering agent', 'multi-agent system', 'open-sourced llms', 'transformer-based language modeling', 'workflow orchestration']"
2,1,['assembly line paradigm']
3,1,['automated reviewer']
4,1,['automatic curriculum']
5,1,['blackbox queries']
6,5,"['code execution', 'code optimization', 'code training', 'execution errors', 'instruction following']"
7,1,['collaborative software engineering benchmarks']
8,1,['data cleaning']
9,1,['debugging']
10,1,['decision-making']
11,1,['diffusion modeling']
12,1,['environment feedback']
13,1,['experiment tracking']
14,1,['feature engineering']
15,1,['gpt-4']
16,1,['hierarchical graph modeling']
17,1,['human-in-the-loop']
18,1,['humanevalfix']
19,1,['in-context lifelong learning']
20,1,['infiagent-dabench']
21,1,['integrated development environment']
22,1,['iterative prompting mechanism']
23,2,"['kaggle competitions', 'kaggle evaluations']"
24,1,['learning dynamics']
25,1,['math dataset']
26,3,"['metrs re-bench', 'openai mle-bench', 'swe-bench']"
27,1,['minecraft']
28,1,['modeling']
29,1,['multi-round alignment data']
30,1,['open-ended scientific discovery']
31,1,['opendevin']
32,1,['pass@1']
33,1,['programmable node generation']
34,1,['reasoning']
35,1,['sandboxed environments']
36,1,['self-verification']
37,1,['simulated review process']
38,1,['skill library']
39,1,['standardized operating procedures']
40,1,['tree search']
41,1,['unit testing']
42,1,['webarena']
